section_index | section_type | data_valid | start_licheng | end_licheng | line_or_circle | circle_side | circle_R | circle_center | start_pt | end_pt | start_direction | end_direction | start_normal | end_normal | 
0 | tunnel | True | 0.0 | 940.0 | line | right | 1000.0 | None | [0.0, 0.0] | [664.68, 664.68] | [1, 1] | [1, 1] | [1, -1] | [1, -1] | 
1 | roadbed | True | 940.0 | 1540.0 | circle | right | 1000.0 | [1371.787, -42.427] | [664.68, 664.68] | [1187.64, 940.472] | [1, 1] | [0.983, 0.184] | [1, -1] | [0.184, -0.983] | 
2 | bridge | True | 1540.0 | 2160.0 | line | left | 1000.0 | None | [1187.64, 940.472] | [1797.056, 1054.544] | [0.983, 0.184] | [0.983, 0.184] | [0.184, -0.983] | [-0.184, 0.983] | 
3 | roadbed | True | 2160.0 | 2810.0 | circle | left | 1000.0 | [1613.069, 2037.473] | [1797.056, 1054.544] | [2354.104, 1366.007] | [0.983, 0.184] | [0.671, 0.741] | [0.184, -0.983] | [-0.741, 0.671] | 
4 | bridge | True | 2810.0 | 2910.0 | line | left | 1000.0 | None | [2354.104, 1366.007] | [2421.227, 1440.132] | [0.671, 0.741] | [0.671, 0.741] | [0.741, -0.671] | [-0.741, 0.671] | 
5 | roadbed | True | 2910.0 | 3050.0 | circle | left | 1000.0 | [1679.976, 2111.36] | [2421.227, 1440.132] | [2507.46, 1549.87] | [0.671, 0.741] | [0.561, 0.827] | [0.741, -0.671] | [-0.827, 0.561] | 
6 | bridge | True | 3050.0 | 3150.0 | line | left | 1000.0 | None | [2507.46, 1549.87] | [2563.598, 1632.626] | [0.561, 0.827] | [0.561, 0.827] | [0.827, -0.561] | [-0.827, 0.561] | 
7 | roadbed | True | 3150.0 | 3880.0 | circle | left | 1000.0 | [1736.039, 2194.005] | [2563.598, 1632.626] | [2727.074, 2327.604] | [0.561, 0.827] | [-0.134, 0.991] | [0.827, -0.561] | [-0.991, -0.134] | 
8 | bridge | True | 3880.0 | 4500.0 | line | left | 1000.0 | None | [2727.074, 2327.604] | [2643.996, 2942.013] | [-0.134, 0.991] | [-0.134, 0.991] | [0.991, 0.134] | [-0.991, -0.134] | 
9 | roadbed | True | 4500.0 | 4580.0 | circle | left | 1000.0 | [1653.014, 2808.015] | [2643.996, 2942.013] | [2630.203, 3020.385] | [-0.134, 0.991] | [-0.212, 0.977] | [0.991, 0.134] | [-0.977, -0.212] | 
10 | tunnel | True | 4580.0 | 5580.0 | line | left | 1000.0 | None | [2630.203, 3020.385] | [2418.147, 3997.643] | [-0.212, 0.977] | [-0.212, 0.977] | [0.977, 0.212] | [-0.977, -0.212] | 
11 | roadbed | True | 5580.0 | 5840.0 | circle | left | 1000.0 | [1440.889, 3785.587] | [2418.147, 3997.643] | [2330.639, 4242.036] | [-0.212, 0.977] | [-0.456, 0.89] | [0.977, 0.212] | [-0.89, -0.456] | 
12 | bridge | True | 5840.0 | 6840.0 | line | left | 1000.0 | None | [2330.639, 4242.036] | [1874.647, 5132.02] | [-0.456, 0.89] | [-0.456, 0.89] | [0.89, 0.456] | [-0.89, -0.456] | 
13 | roadbed | True | 6840.0 | 8670.0 | circle | left | 1000.0 | [984.663, 4676.028] | [1874.647, 5132.02] | [316.153, 5419.731] | [-0.456, 0.89] | [-0.744, -0.669] | [0.89, 0.456] | [0.669, -0.744] | 
14 | station | True | 8670.0 | 8879.0 | line | right | 1000.0 | None | [316.153, 5419.731] | [160.742, 5279.987] | [-0.744, -0.669] | [-0.744, -0.669] | [-0.669, 0.744] | [-0.669, 0.744] | 
15 | roadbed | True | 8879.0 | 9410.0 | circle | right | 1000.0 | [-507.891, 6023.579] | [160.742, 5279.987] | [-307.643, 5043.834] | [-0.744, -0.669] | [-0.98, -0.2] | [-0.669, 0.744] | [-0.2, 0.98] | 
16 | tunnel | True | 9410.0 | 9960.0 | line | right | 1000.0 | None | [-307.643, 5043.834] | [-846.535, 4933.856] | [-0.98, -0.2] | [-0.98, -0.2] | [-0.2, 0.98] | [-0.2, 0.98] | 
17 | roadbed | True | 9960.0 | 10770.0 | circle | right | 1000.0 | [-1046.495, 5913.66] | [-846.535, 4933.856] | [-1618.041, 5093.09] | [-0.98, -0.2] | [-0.821, 0.572] | [-0.2, 0.98] | [0.572, 0.821] | 
18 | bridge | True | 10770.0 | 10930.0 | line | right | 1000.0 | None | [-1618.041, 5093.09] | [-1749.321, 5184.554] | [-0.821, 0.572] | [-0.821, 0.572] | [0.572, 0.821] | [0.572, 0.821] | 
19 | roadbed | True | 10930.0 | 11090.0 | circle | right | 1000.0 | [-1177.671, 6005.052] | [-1749.321, 5184.554] | [-1872.649, 5286.021] | [-0.821, 0.572] | [-0.719, 0.695] | [0.572, 0.821] | [0.695, 0.719] | 
20 | bridge | True | 11090.0 | 12090.0 | line | right | 1000.0 | None | [-1872.649, 5286.021] | [-2591.654, 5981.026] | [-0.719, 0.695] | [-0.719, 0.695] | [0.695, 0.719] | [0.695, 0.719] | 
21 | roadbed | True | 12090.0 | 12290.0 | circle | right | 1000.0 | [-1896.649, 6700.031] | [-2591.654, 5981.026] | [-2720.623, 6133.403] | [-0.719, 0.695] | [-0.567, 0.824] | [0.695, 0.719] | [0.824, 0.567] | 
